,search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
0,https://twitter.com/search?q=%23HDFC%20%23Healthinsurance&src=typed_query&f=top,poojasingh,/poojasingh081,Aug 13,2023-08-13 03:53:57+00:00,"Something must be changed from a regulatory standpoint.
As much as this post is to put out my frustration, I wanted to highlight to everyone that “BEWARE OF INSURANCE COMPANIES”.
 #Insurance   #Insurancefraud   #Hdfcergo   #Irdai    #healthinsurance    #health    #Hdfc    #hdfclife",1,1,1,HDFC
1,https://twitter.com/search?q=%23HDFC%20%23Healthinsurance&src=typed_query&f=top,Bharat Chopra,/bharatchopra28,"Aug 10, 2021",2021-08-10 07:37:23+00:00,"There is still no escalation, just a same response from your side everytime (we are looking). Its been more than 22 days, do something.    #HDFCERGO    #HealthInsurance    #IRDAI   #grievanceofficer      #HDFC    #poorcustomerservice      ",1,,,HDFC
2,https://twitter.com/search?q=%23HDFC%20%23Healthinsurance&src=typed_query&f=top,NETROCK DEALS,/netrockdeals,"Apr 30, 2021",2021-04-30 08:21:01+00:00,"It's time to think about getting the best health insurance.  
 
.
.
 #netrockdeals   #netrockdealsoffers   #couponsindia   #healthcare    #healthinsurance    #hdfchealthinsurance    #hdfc    #covidsafetyprecautions   #covidsafetymeasures   #lockdowndeals   #familypack   #familytime",,,,HDFC
3,https://twitter.com/search?q=%23HDFC%20%23Healthinsurance&src=typed_query&f=top,Interesting Facts and News,/kumaran__p,May 3,2023-05-03 12:13:08+00:00," 
Does the Gold Smart health insurance cover pregnancy/ maternity hospitalization expenses?

 #HdfcErgo    #healthInsurance     #HDFC    #GoldSmart",3,,,HDFC
4,https://twitter.com/search?q=%23HDFC%20%23Healthinsurance&src=typed_query&f=top,Bharat Chopra,/bharatchopra28,"Aug 10, 2021",2021-08-10 08:43:58+00:00,I registered my grievance against   with  . Grievance number- 2893877.  #poorcustomerservice  by  #HDFCERGO    #HDFC     #healthinsurance,,,,HDFC
5,https://twitter.com/search?q=%23HDFC%20%23Healthinsurance&src=typed_query&f=top,Nitin,/georgenitin1984,"May 11, 2019",2019-05-11 02:06:58+00:00,#Bajaj  miles ahead of   in settling claims... The insurance company is a blot to   brand name  #hdfcergo    #healthinsurance     #hdfc,,,,HDFC
6,https://twitter.com/search?q=%23HDFC%20%23Healthinsurance&src=typed_query&f=top,Bharat Capital - Investment & Insurance Centre,/BharatCapitalIn,"Sep 24, 2018",2018-09-24 07:40:35+00:00,"First job? First salary?  
 #MondayMotivation   #BharatCapital   #Investment   #FinancialAdvice   #InvestmentExpert   #FinancialExpert   #Mutualfunds   #SIP   #LifeInsurance    #HealthInsurance    #MutualFundsSahiHai   #HDFCMutualFund    #hdfc    #hdfcbank 
 #daadicool",,1,,HDFC
7,https://twitter.com/search?q=%23HDFC%20%23Healthinsurance&src=typed_query&f=top,KD Creation,/kdcreationgroup,"Dec 12, 2022",2022-12-12 07:40:36+00:00,"The goal is to protect yourself and your family in the event of either. Take the necessary action now!  
  #healthinsurance    #insurance   #lifeinsurance   #health   #footballworldcup   #football   #QatarWorldCup   #fifaworldcup   #Qatar2022   #trending   #viral   #instagram   #love    #HDFC    #HDFCBank",,1,1,HDFC
8,https://twitter.com/search?q=%23HDFC%20%23Healthinsurance&src=typed_query&f=top,Bharat Capital - Investment & Insurance Centre,/BharatCapitalIn,"Sep 18, 2018",2018-09-18 07:41:15+00:00,"Have a shopping dream?  

Invest in SIP and make your dream happen!

 #BharatCapital   #Investment   #FinancialAdvice   #InvestmentExpert   #FinancialExpert   #Mutualfunds   #SIP   #LifeInsurance    #HealthInsurance    #HDFCMutualFund    #HDFC",,,,HDFC
9,https://twitter.com/search?q=%23HDFC%20%23Healthinsurance&src=typed_query&f=top,GOPAL TRIVEDI,/trivediGee,"Aug 19, 2020",2020-08-19 13:12:29+00:00,@HDFCERGOHealth Sending customer feedback form many times does not change my stand. Lousy Company. Customers beware !!  #IRDAI   #MEDICLAIM    #healthinsurance     #HDFC    #mediclaim,,,,HDFC
